game_id,points,swaps,total_cascades,reached_target,stopping_reason,moves_to_10000
0,10000,952,1572,True,REACHED_TARGET,952
1,10000,886,1517,True,REACHED_TARGET,886
2,10000,955,1543,True,REACHED_TARGET,955
3,10005,986,1602,True,REACHED_TARGET,986
4,10005,912,1538,True,REACHED_TARGET,912
5,10070,939,1552,True,REACHED_TARGET,939
6,10015,931,1563,True,REACHED_TARGET,931
7,10000,952,1605,True,REACHED_TARGET,952
8,10000,980,1552,True,REACHED_TARGET,980
9,10005,916,1529,True,REACHED_TARGET,916
10,10000,923,1476,True,REACHED_TARGET,923
11,10000,959,1583,True,REACHED_TARGET,959
12,10025,897,1520,True,REACHED_TARGET,897
13,10020,955,1582,True,REACHED_TARGET,955
14,10000,926,1528,True,REACHED_TARGET,926
15,10010,930,1565,True,REACHED_TARGET,930
16,10010,944,1534,True,REACHED_TARGET,944
17,10000,979,1577,True,REACHED_TARGET,979
18,10005,892,1528,True,REACHED_TARGET,892
19,10005,910,1518,True,REACHED_TARGET,910
20,10005,1005,1603,True,REACHED_TARGET,1005
21,10000,955,1562,True,REACHED_TARGET,955
22,10000,917,1563,True,REACHED_TARGET,917
23,10010,960,1576,True,REACHED_TARGET,960
24,10000,886,1496,True,REACHED_TARGET,886
25,10000,887,1523,True,REACHED_TARGET,887
26,10020,943,1550,True,REACHED_TARGET,943
27,10000,939,1543,True,REACHED_TARGET,939
28,10000,943,1573,True,REACHED_TARGET,943
29,10005,930,1546,True,REACHED_TARGET,930
30,10015,985,1568,True,REACHED_TARGET,985
31,10000,962,1585,True,REACHED_TARGET,962
32,10000,949,1557,True,REACHED_TARGET,949
33,10005,994,1588,True,REACHED_TARGET,994
34,10010,948,1611,True,REACHED_TARGET,948
35,10010,948,1555,True,REACHED_TARGET,948
36,10000,965,1600,True,REACHED_TARGET,965
37,10000,975,1576,True,REACHED_TARGET,975
38,10000,927,1549,True,REACHED_TARGET,927
39,10005,987,1593,True,REACHED_TARGET,987
40,10005,956,1570,True,REACHED_TARGET,956
41,10010,948,1567,True,REACHED_TARGET,948
42,10060,926,1566,True,REACHED_TARGET,926
43,10005,968,1571,True,REACHED_TARGET,968
44,10005,980,1584,True,REACHED_TARGET,980
45,10000,958,1546,True,REACHED_TARGET,958
46,10015,941,1579,True,REACHED_TARGET,941
47,10000,989,1601,True,REACHED_TARGET,989
48,10015,926,1542,True,REACHED_TARGET,926
49,10005,966,1599,True,REACHED_TARGET,966
50,10000,969,1588,True,REACHED_TARGET,969
51,10000,974,1588,True,REACHED_TARGET,974
52,10000,990,1589,True,REACHED_TARGET,990
53,10025,901,1538,True,REACHED_TARGET,901
54,10000,975,1565,True,REACHED_TARGET,975
55,10000,919,1527,True,REACHED_TARGET,919
56,10025,958,1576,True,REACHED_TARGET,958
57,10040,982,1606,True,REACHED_TARGET,982
58,10000,975,1618,True,REACHED_TARGET,975
59,10000,977,1598,True,REACHED_TARGET,977
60,10000,952,1589,True,REACHED_TARGET,952
61,10005,918,1499,True,REACHED_TARGET,918
62,10000,890,1533,True,REACHED_TARGET,890
63,10005,964,1577,True,REACHED_TARGET,964
64,10000,987,1607,True,REACHED_TARGET,987
65,10010,965,1572,True,REACHED_TARGET,965
66,10020,890,1519,True,REACHED_TARGET,890
67,10005,898,1497,True,REACHED_TARGET,898
68,10015,922,1555,True,REACHED_TARGET,922
69,10020,956,1563,True,REACHED_TARGET,956
70,10000,927,1555,True,REACHED_TARGET,927
71,10000,949,1558,True,REACHED_TARGET,949
72,10000,895,1511,True,REACHED_TARGET,895
73,10005,942,1534,True,REACHED_TARGET,942
74,10000,964,1531,True,REACHED_TARGET,964
75,10000,966,1588,True,REACHED_TARGET,966
76,10005,982,1604,True,REACHED_TARGET,982
77,10000,944,1544,True,REACHED_TARGET,944
78,10000,965,1564,True,REACHED_TARGET,965
79,10000,972,1618,True,REACHED_TARGET,972
80,10005,942,1563,True,REACHED_TARGET,942
81,10000,887,1518,True,REACHED_TARGET,887
82,10000,946,1578,True,REACHED_TARGET,946
83,10005,950,1600,True,REACHED_TARGET,950
84,10000,904,1518,True,REACHED_TARGET,904
85,10020,997,1596,True,REACHED_TARGET,997
86,10000,975,1566,True,REACHED_TARGET,975
87,10000,936,1544,True,REACHED_TARGET,936
88,10000,903,1521,True,REACHED_TARGET,903
89,10000,976,1608,True,REACHED_TARGET,976
90,10000,927,1560,True,REACHED_TARGET,927
91,10005,1001,1626,True,REACHED_TARGET,1001
92,10005,986,1601,True,REACHED_TARGET,986
93,10030,981,1573,True,REACHED_TARGET,981
94,10010,911,1578,True,REACHED_TARGET,911
95,10010,964,1622,True,REACHED_TARGET,964
96,10005,938,1523,True,REACHED_TARGET,938
97,10005,941,1536,True,REACHED_TARGET,941
98,10000,903,1521,True,REACHED_TARGET,903
99,10010,963,1599,True,REACHED_TARGET,963
